
rainfall,soil_moisture,slope,historical_incidents,landslide
5,20,10,0,0
8,24,12,0,0
10,28,14,0,0
12,30,15,0,0
15,32,16,0,0
18,35,18,0,0
20,38,20,0,0
22,40,21,0,0
10,25,13,0,0
14,29,15,0,0
16,34,17,0,0
19,36,19,0,0
7,22,11,0,0
18,42,24,0,0
22,44,26,0,0
25,43,22,0,0
28,40,20,0,0
30,42,23,0,1
32,45,24,0,1
35,47,25,0,1
25,46,24,1,1
30,50,25,1,1
35,54,27,1,1
40,58,29,0,1
42,60,30,0,1
45,62,30,1,1
48,64,31,1,1
50,66,32,0,1
52,68,33,1,1
55,70,34,1,1
20,46,26,1,1
28,52,28,1,1
33,56,29,1,1
38,60,30,1,1
42,65,31,1,1
45,68,32,1,1
50,72,34,1,1
45,65,35,0,1
48,68,37,0,1
52,70,38,0,1
55,73,37,1,2
60,78,38,1,2
65,80,40,1,2
70,82,42,1,2
75,85,44,1,2
80,88,45,1,2
90,90,47,1,2
100,92,50,1,2
65,75,40,0,2
70,78,42,0,2
75,80,43,0,2
80,83,45,0,2
85,86,46,1,2
90,88,48,1,2
95,90,50,1,2
55,73,37,1,2
60,76,39,1,2
68,81,41,1,2
72,84,43,1,2
78,87,45,1,2
